"image","xmin","ymin","xmax","ymax","label"
"mahjan12.jpg",784.0768702814001,484.6829268292683,863.1434454358271,666.439024390244,"1m"
"mahjan12.jpg",868.4145504461221,503.0652573529412,930.2274293590629,607.6240808823529,"1m"
"mahjan12.jpg",932.8738800827016,480.56525735294116,1003.0048242591316,585.1240808823529,"2m"
"mahjan12.jpg",1004.3280496209511,463.359375,1063.8731909028256,563.9476102941177,"4m"
"mahjan12.jpg",1067.8428669882842,399.0731707317073,1130.0344589937977,575.560975609756,"4s"
"mahjan12.jpg",1127.3880082701585,421.0064338235294,1189.579600275672,522.9181985294117,"5sr"
"mahjan12.jpg",1194.8725017229497,398.5064338235294,1255.7408683666438,500.4181985294117,"6s"
"mahjan12.jpg",1255.7408683666438,382.6240808823529,1302.053756030324,484.53584558823525,"ton"
"mahjan12.jpg",1317.9324603721573,366.74172794117646,1362.922122674018,467.3299632352941,"ton"
"mahjan12.jpg",1365.5685733976568,345.56525735294116,1415.8511371467953,450.1240808823529,"chun"
"mahjan12.jpg",1422.4672639558926,334.97702205882354,1470.1033769813923,430.2711397058824,"7m"
"mahjan12.jpg",1475.39627842867,321.74172794117646,1519.0627153687115,410.41819852941177,"2p"
"mahjan12.jpg",47.63611302549966,35.859375,263.32184700206756,123.21231617647058,"hand_ton_2"
"mahjan12.jpg",273.907649896623,83.5064338235294,426.078566505858,117.91819852941177,"round_0"
"mahjan12.jpg",1167.0847691247416,582.4770220588235,1440.9924190213646,709.5358455882354,"team_kadokawa"
"mahjan12.jpg",674.7014413177762,510.7362804878049,790.665751544269,675.3704268292684,"9p"
"mahjan11.jpg",621.9159200551344,615.5652573529411,694.6933149552033,730.7123161764705,"pei"
"mahjan11.jpg",698.6629910406616,589.0946691176471,780.7029634734665,709.5358455882354,"5p"
"mahjan11.jpg",782.026188835286,569.2417279411765,853.4803583735355,685.7123161764706,"7p"
"mahjan11.jpg",860.0964851826327,540.1240808823529,928.9042039972434,656.5946691176471,"7p"
"mahjan11.jpg",936.8435561681599,516.3005514705882,999.0351481736734,632.7711397058823,"7p"
"mahjan11.jpg",1006.97450034459,501.74172794117646,1071.8125430737423,608.9476102941177,"9p"
"mahjan11.jpg",1071.8125430737423,480.56525735294116,1128.711233631978,589.0946691176471,"1m"
"mahjan11.jpg",1143.2667126119918,456.74172794117646,1196.1957270847693,562.6240808823529,"5m"
"mahjan11.jpg",1198.842177808408,434.24172794117646,1259.710544452102,548.0652573529412,"6m"
"mahjan11.jpg",1266.3266712611992,422.3299632352941,1308.669882839421,526.8887867647059,"8m"
"mahjan11.jpg",1315.2860096485183,402.47702205882354,1370.8614748449345,508.359375,"3s"
"mahjan11.jpg",1381.4472777394901,383.9476102941176,1426.436940041351,485.859375,"4s"
"mahjan11.jpg",1435.699517574087,369.38878676470586,1480.6891798759477,468.6534926470588,"5s"
"mahjan11.jpg",1491.2749827705031,349.5358455882353,1536.264645072364,451.4476102941177,"5s"
"mahjan11.jpg",50.282563749138525,37.1829044117647,265.9682977257064,121.88878676470588,"hand_ton_1"
